timestamp,m5_price_momentum_3,m5_price_momentum_6,m5_price_acceleration,m5_volatility_3,m5_volatility_6,m5_max_move_3,m5_avg_range_3,m5_avg_range_6,m5_range_expansion,m5_trend_consistency,m5_volume_trend,m5_volume_avg,m5_spread_avg,m5_spread_volatility,m5_spread_trend,m5_resistance_distance,m5_support_distance,m15_momentum_4h,m15_momentum_2h,m15_momentum_1h,m15_trend_slope,m15_vol_regime,m15_avg_range,m15_range_volatility,m15_current_range_percentile,m15_price_vs_sma20,m15_price_vs_sma50,m15_sma20_vs_sma50,momentum_confluence,momentum_divergence,vol_m5_vs_m15,vol_regime_alignment,price_level_diff,price_level_alignment,trend_strength_ratio,session_asia,session_london,session_newyork,session_overlap,session_transition,session_vol_anomaly,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_weekend,current_open,current_high,current_low,current_close,current_volume,current_spread,target_direction_1,target_direction_3,target_direction_5,target_price_1,target_return_1
2023-11-08 18:00:00+00:00,0.0299999999999727,0.0299999999999727,0.0299999999999727,8.579252892187377e-06,6.960843108582025e-06,1.0423099673584346e-05,0.0,0.0,1,0.5454545454545454,,0.0,0.0003,0.0,0,0.0,2.0324631264279236e-05,0,0,2.309999999999945,0.2207738095238161,1.0974471458632806,0.9667499999999905,0.364647285547422,1.0702122721525889,0,0,0,1,0,0.0323846932178917,0,0.0005682454445309,1,0.027513342856009,0,0,1,0,0,0.7692307692307692,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1918.854,1918.854,1918.854,1918.854,0,0.0003,1,0,0,1920.064,6.198094216247618e-05
2023-11-08 18:15:00+00:00,0.0199999999999818,0.0,0.0399999999999636,7.956156569526802e-06,6.588318657890831e-06,1.041707358351296e-05,0.0,0.0,1,0.3636363636363636,,0.0,0.0003,0.0,0,0.0,1.0416965069302407e-05,0,0,2.3990000000001146,0.3305952380951359,0.9266555176980512,1.180125000000004,0.765880154276265,2.189474411416975,0,0,0,1,0,0.0527764315489502,0,6.197710076338178e-05,1,0.1680776438554724,0,0,1,0,0,0.7692307692307692,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1919.945,1919.945,1919.945,1919.945,0,0.0003,0,0,0,1915.165,-0.0025514774507516824
2023-11-08 18:30:00+00:00,0.2000000000000454,0.4490000000000691,-0.0489999999999781,5.419220785144176e-05,6.411589789258119e-05,8.802885679681793e-05,0.0,0.0,1,0.4545454545454545,,0.0,0.0003,0.0,0,0.0,0.0002546790106996,0,0,-3.380000000000109,0.0063571428572865,2.631133529747144,1.714999999999975,1.5643687910098516,2.169565143145696,0,0,0,0,1,0.0595009430985592,0,0.0025580041406354,0,0.0407204948989365,0,0,1,0,0,0.7692307692307692,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1920.064,1920.064,1920.064,1920.064,0,0.0003,1,0,1,1915.955,0.0004124970955505791
2023-11-08 18:45:00+00:00,-0.0399999999999636,-0.1000000000001364,0.0200000000002091,6.029153890130274e-06,1.3879696542513884e-05,1.0442855389980464e-05,0.0,0.0,1,0.3636363636363636,,0.0,0.0003,0.0,0,5.221482222165528e-05,0.0,0,0,-2.8990000000001146,-0.2215714285712313,1.7305523338818734,2.0112499999999613,1.5819895024032782,0.7071791552980422,0,0,0,0,1,0.0112933688985653,0,0.0004123270118556,1,0.0506537973212499,0,0,1,0,0,0.7692307692307692,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1915.165,1915.165,1915.165,1915.165,0,0.0003,0,1,1,1914.695,-0.0006576354872634971
2023-11-08 19:00:00+00:00,-0.0199999999999818,-0.0399999999999636,0.0,3.0133575640465407e-06,2.695214874570964e-06,5.21930202268539e-06,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,1.5657987791974612e-05,0.0,0,0,-5.25,-0.5319999999998838,1.188213583620091,2.2024999999999864,1.5225869902429194,0.1625522886942387,0,0,0,1,0,0.0100844574564812,0,0.0006580682563019,1,0.0158625772144735,0,0,1,0,0,0.7692307692307693,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,0,1915.955,1915.955,1915.955,1915.955,0,0.0003,1,1,1,1914.855,8.356422302258082e-05
2023-11-08 19:15:00+00:00,-0.0499999999999545,-0.0099999999999909,-0.0899999999999181,3.015253929480833e-06,1.2969476481987273e-05,1.0445364216793427e-05,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,2.6113819694496787e-05,5.222763938899357e-06,0,0,-5.20900000000006,-0.7558809523809029,0.9580498011208352,2.4399999999999977,1.3604173729305575,-0.0220520559328723,0,0,0,0,1,0.0121752271466484,0,8.35572406266176e-05,1,0.3125261138192504,0,0,1,0,0,0.7692307692307693,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,0,1914.695,1914.695,1914.695,1914.695,0,0.0003,1,1,1,1917.095,0.0011698013687719833
2023-11-08 19:30:00+00:00,0.0,-0.0399999999999636,0.0399999999999636,9.045265775733548e-06,7.134991219350632e-06,1.044454598864153e-05,0.0,0.0,1,0.4545454545454545,,0.0,0.0003,0.0,0,1.5666982617468538e-05,0.0,0,0,1.930000000000064,-0.6319047619046934,0.6223603340889664,2.8574999999999875,1.554013145743176,1.3207738979700197,0,0,0,0,0,0.0087735856297209,0,0.0011684345324566,0,0.0,0,0,1,0,0,0.7692307692307692,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,0,1914.855,1914.855,1914.855,1914.855,0,0.0003,0,1,1,1916.024,-0.0005586577608308607
2023-11-08 19:45:00+00:00,0.0299999999999727,-0.0399999999999636,0.099999999999909,9.034909132614584e-06,1.174136221604844e-05,1.0432668859250429e-05,0.0,0.0,1,0.4545454545454545,,0.0,0.0003,0.0,0,1.564867677395889e-05,2.086490236527852e-05,0,0,0.0689999999999599,-0.5295476190474235,0.7915505216354766,3.1828749999999677,1.26905098822473,0.0450139517876691,0,0,0,0,1,0.0156223563540885,0,0.0005589700337783,1,0.0279955558049896,0,0,1,0,0,0.7692307692307693,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,0,1917.095,1917.095,1917.095,1917.095,0,0.0003,1,1,1,1917.615,0.0008303653816446044
2023-11-08 20:00:00+00:00,0.1789999999998599,0.1199999999998908,0.237999999999829,2.9629423470556605e-05,2.995312833225035e-05,5.898180698338251e-05,0.0,0.0,1,0.3636363636363636,,0.0,0.0003,0.0,0,0.0,9.34226293615633e-05,0,0,2.9200000000000728,-0.1103333333332221,0.8366296416518653,3.7057499999999943,1.271021271037023,1.4431308443041526,0,0,0,1,0,0.0192044102249901,0,0.0008296764470449,1,0.1126012793231681,0,0,1,0,0,0.7692307692307692,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,1916.024,1916.024,1916.024,1916.024,0,0.0003,1,1,0,1918.685,0.00055798478839586
2023-11-08 20:15:00+00:00,-0.0399999999999636,-0.0899999999999181,0.0099999999999909,1.3123424768592956e-05,1.858344514347633e-05,2.085880932700679e-05,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,2.0859244425999807e-05,0.0,0,0,3.8299999999999272,0.4662738095238983,0.9596284916520182,3.734874999999988,1.2513107913018962,-0.5153595769194361,0,0,0,0,1,0.028405990484735,0,0.0005576736150019,1,0.0374040368144876,0,0,1,0,0,0.7692307692307693,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,1917.615,1917.615,1917.615,1917.615,0,0.0003,1,0,0,1919.135,0.0002345356324775505
